Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
145,0,0.016932,-0.126678,-1.806945,263.191162,-508.015686,180.768478
146,0,0.017005,-0.126361,-1.806728,263.17926,-508.042267,180.782516
147,0,0.017921,-0.126672,-1.806314,263.165558,-508.066528,180.781998
148,0,0.018498,-0.126705,-1.806858,263.139191,-508.085846,180.781158
149,0,0.0185,-0.126701,-1.806277,263.128143,-508.106049,180.779221
150,0,0.01905,-0.126655,-1.806299,263.111755,-508.120056,180.770752
151,0,0.019178,-0.125959,-1.806516,263.091949,-508.128754,180.777298
152,0,0.019899,-0.126394,-1.806635,263.057648,-508.143066,180.769699
153,0,0.020174,-0.126503,-1.806698,263.052277,-508.150269,180.779999
154,0,0.020379,-0.126911,-1.806473,263.040802,-508.159393,180.777893
155,0,0.020756,-0.127011,-1.806509,263.019958,-508.168945,180.777176
156,0,0.021122,-0.126959,-1.806801,263.004486,-508.166199,180.778885
157,0,0.021314,-0.126996,-1.806703,262.988007,-508.162323,180.773712
158,0,0.021109,-0.127028,-1.806912,262.969971,-508.157562,180.770752
159,0,0.021145,-0.127468,-1.806615,262.968384,-508.157196,180.785538
160,0,0.021481,-0.127198,-1.807093,262.955109,-508.141449,180.781906
161,0,0.02137,-0.127532,-1.807262,262.95575,-508.133362,180.789108
162,0,0.021419,-0.127395,-1.807374,262.954346,-508.112793,180.790894
163,0,0.021007,-0.127812,-1.807179,262.9534,-508.099487,180.789032
164,0,0.020842,-0.127949,-1.807253,262.951843,-508.07196,180.787338
165,0,0.020468,-0.1284,-1.807245,262.955475,-508.063019,180.789764
166,0,0.020067,-0.128614,-1.807214,262.970551,-508.043701,180.80014
167,0,0.019966,-0.128573,-1.807172,262.996216,-508.016632,180.806595
168,0,0.019912,-0.129119,-1.807158,263.002533,-507.991486,180.803925
169,0,0.019184,-0.128933,-1.807121,263.015625,-507.964844,180.808075
170,0,0.019083,-0.129327,-1.807046,263.029236,-507.940643,180.814346
171,0,0.018742,-0.129689,-1.80758,263.045654,-507.918884,180.816544
172,0,0.018206,-0.129335,-1.807318,263.063721,-507.893372,180.816437
173,0,0.017466,-0.129552,-1.807417,263.078674,-507.874084,180.801437
174,0,0.017478,-0.129988,-1.806933,263.104553,-507.851959,180.804825
175,0,0.016952,-0.129513,-1.807537,263.113037,-507.824066,180.809052
176,0,0.016454,-0.12991,-1.807695,263.12381,-507.806366,180.804871
177,0,0.015819,-0.130003,-1.806964,263.166443,-507.792358,180.817566
178,0,0.01542,-0.129913,-1.807356,263.189209,-507.781433,180.821854
179,0,0.01545,-0.129524,-1.807915,263.192841,-507.770782,180.811798
180,0,0.01512,-0.129674,-1.807371,263.212646,-507.763794,180.808929
181,0,0.014515,-0.129673,-1.806972,263.23288,-507.760834,180.811554
182,0,0.014521,-0.129469,-1.807159,263.237823,-507.755829,180.806396
